epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.55722,1.24701,4.68496,1.06672,0,0,0,0,0.90261,4.48233,0.92182,5.88e-06,5.88e-06,5.88e-06
2,5.20353,1.19301,4.64063,1.09714,0,0,0,0,0.90382,4.47691,0.91604,1.75963e-05,1.75963e-05,1.75963e-05
3,7.70234,1.07405,4.51095,1.05413,0,0,0,0,0.87679,4.45653,0.90015,2.92545e-05,2.92545e-05,2.92545e-05
4,10.2648,1.08978,4.56469,1.05326,0,0,0,0,0.82775,4.42469,0.88463,4.08544e-05,4.08544e-05,4.08544e-05
5,12.86,0.98349,4.52268,1.01086,0,0,0,0,0.79402,4.3853,0.8725,5.23961e-05,5.23961e-05,5.23961e-05
6,15.3105,1.00849,4.47212,1.03065,0,0,0,0,0.72067,4.33756,0.86635,6.38796e-05,6.38796e-05,6.38796e-05
7,17.8541,0.92406,4.35968,0.97639,0,0,0,0,0.71197,4.33312,0.86218,7.53049e-05,7.53049e-05,7.53049e-05
8,20.4485,0.98994,4.38624,0.96386,0,0,0,0,0.69584,4.32908,0.85573,8.66719e-05,8.66719e-05,8.66719e-05
9,22.8738,0.97838,4.31763,0.94184,0,0,0,0,0.69232,4.32818,0.85267,9.79808e-05,9.79808e-05,9.79808e-05
10,25.3691,0.93687,4.32727,0.93919,0,0,0,0,0.68357,4.32436,0.84942,0.000109231,0.000109231,0.000109231
11,27.7536,0.86204,4.284,0.92761,0.03958,0.07,0.02469,0.01694,0.69701,4.31669,0.84648,0.000120424,0.000120424,0.000120424
12,30.2073,0.75579,4.14401,0.90433,0.00385,0.05,0.00389,0.00078,0.67609,4.30802,0.84533,0.000131558,0.000131558,0.000131558
13,32.6023,0.83645,4.14471,0.9189,0.01223,0.10333,0.01839,0.00762,0.6554,4.28776,0.83529,0.000142634,0.000142634,0.000142634
14,35.0277,0.90221,4.1234,0.93149,0.01632,0.26,0.02899,0.01532,0.65607,4.26323,0.82109,0.000153652,0.000153652,0.000153652
15,37.3784,0.79207,4.03478,0.88399,0.01147,0.37667,0.0433,0.02745,0.64574,4.21724,0.8128,0.000164611,0.000164611,0.000164611
16,39.8538,0.8795,4.11241,0.88846,0.01191,0.44667,0.04816,0.0297,0.65815,4.17155,0.79527,0.000175513,0.000175513,0.000175513
17,42.35,0.86984,4.00185,0.89523,0.02692,0.71667,0.08559,0.05438,0.67921,4.15202,0.78298,0.000186356,0.000186356,0.000186356
18,44.819,0.8639,3.90946,0.90306,0.02424,0.76667,0.12014,0.07454,0.70431,4.1229,0.77838,0.000197141,0.000197141,0.000197141
19,47.4207,0.80951,3.85373,0.88151,0.01695,0.74667,0.10139,0.06778,0.71788,4.14043,0.77787,0.000207868,0.000207868,0.000207868
