epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.28281,1.62634,4.35191,1.19048,0.00125,0.08333,0.00238,0.00048,1.04972,4.55243,1.02827,8.33e-06,8.33e-06,8.33e-06
2,4.58558,2.04299,4.48989,1.36642,0.00123,0.08333,0.00223,0.00045,1.01562,4.48453,1.00718,2.49281e-05,2.49281e-05,2.49281e-05
3,6.67355,1.79759,4.36661,1.2682,0.00116,0.08333,0.00217,0.00065,0.88379,4.42883,0.98665,4.14438e-05,4.14438e-05,4.14438e-05
4,8.86538,1.59851,4.31672,1.15852,0.00113,0.08333,0.00225,0.00068,0.81419,4.36658,0.95144,5.7877e-05,5.7877e-05,5.7877e-05
5,11.0354,1.52875,4.28003,1.09742,0.0022,0.16667,0.00296,0.00084,0.8804,4.34163,0.93284,7.42278e-05,7.42278e-05,7.42278e-05
6,13.2832,1.10602,4.05767,1.03416,0.00224,0.16667,0.00517,0.003,1.06819,4.28703,0.92295,9.04961e-05,9.04961e-05,9.04961e-05
7,15.4407,1.0385,4.12276,0.9758,0.00328,0.25,0.03771,0.0254,1.13924,4.24084,0.91777,0.000106682,0.000106682,0.000106682
8,17.6314,1.1848,4.01679,0.98322,0.00389,0.25,0.11443,0.07182,1.1725,4.21606,0.90702,0.000122785,0.000122785,0.000122785
9,19.8366,0.98438,3.92471,0.99857,0.00402,0.25,0.07469,0.04518,1.14855,4.21469,0.91548,0.000138806,0.000138806,0.000138806
10,21.8483,1.11198,3.86063,0.94738,0.00405,0.25,0.06978,0.04397,1.03569,4.23028,0.91317,0.000154745,0.000154745,0.000154745
11,23.8611,1.17827,3.9281,0.8958,0.00377,0.25,0.09034,0.06808,0.89251,4.22386,0.91401,0.0001706,0.0001706,0.0001706
12,25.9234,1.06134,3.80033,0.93587,0.00387,0.25,0.08349,0.05431,0.79265,4.2273,0.91305,0.000186374,0.000186374,0.000186374
13,27.9514,1.01135,3.7753,0.88306,0.00397,0.25,0.10414,0.06668,0.78922,4.2474,0.92718,0.000202065,0.000202065,0.000202065
14,30.1171,1.11573,3.66824,0.91406,0.00539,0.33333,0.14799,0.09435,0.81622,4.24562,0.92993,0.000217674,0.000217674,0.000217674
15,32.2712,1.00889,3.62086,0.84429,0.00403,0.25,0.0904,0.05764,0.84684,4.24341,0.92582,0.0002332,0.0002332,0.0002332
16,34.4231,1.09415,3.59029,0.91804,0.00412,0.25,0.08355,0.05632,0.87766,4.25086,0.93243,0.000248643,0.000248643,0.000248643
17,36.5291,1.04838,3.64961,0.8885,0.00509,0.33333,0.07758,0.05329,0.95284,4.21442,0.92863,0.000264004,0.000264004,0.000264004
18,38.7006,0.94753,3.67472,0.89677,0.00616,0.5,0.06612,0.04088,0.95318,4.22332,0.91659,0.000279283,0.000279283,0.000279283
19,40.7917,0.98864,3.55793,0.94997,0.00893,0.66667,0.06027,0.03272,0.94817,4.19715,0.90409,0.000294479,0.000294479,0.000294479
20,42.8583,1.04378,3.49124,0.95085,0.00861,0.66667,0.04832,0.02296,0.86533,4.19784,0.89925,0.000309593,0.000309593,0.000309593
21,44.9991,0.97253,3.52188,0.89222,0.00733,0.66667,0.07487,0.0264,0.8449,4.16907,0.89997,0.000324624,0.000324624,0.000324624
22,47.1791,1.03052,3.24951,0.92626,0.00642,0.58333,0.0791,0.03156,0.87554,4.14818,0.90957,0.000339573,0.000339573,0.000339573
23,49.2991,0.98652,3.14766,0.90812,0.00633,0.58333,0.15049,0.06344,0.87687,4.1429,0.90226,0.000354439,0.000354439,0.000354439
24,51.4317,1.06118,3.0157,0.90245,0.00638,0.58333,0.15171,0.09278,0.87191,4.08221,0.88954,0.000369223,0.000369223,0.000369223
25,53.593,1.02193,3.25589,0.97845,0.00668,0.58333,0.26336,0.22655,0.89267,4.00626,0.88563,0.000383925,0.000383925,0.000383925
26,55.7413,1.07147,3.1049,0.9681,0.00687,0.58333,0.2664,0.22062,0.8861,3.98195,0.88346,0.000398544,0.000398544,0.000398544
27,57.9823,0.99918,2.94493,0.93545,0.00705,0.58333,0.28686,0.204,0.86154,3.94183,0.87305,0.00041308,0.00041308,0.00041308
28,60.1242,0.94582,2.76605,0.91903,0.00705,0.58333,0.28686,0.204,0.86154,3.94183,0.87305,0.000427534,0.000427534,0.000427534
29,62.2886,1.04487,2.93668,0.87622,0.00882,0.66667,0.25801,0.19002,0.7935,3.92799,0.86999,0.000441906,0.000441906,0.000441906
30,64.3997,1.01515,2.50793,0.90186,0.00915,0.66667,0.25386,0.19099,0.77165,3.8888,0.86858,0.000456195,0.000456195,0.000456195
31,66.4069,1.01388,2.701,0.88985,0.00915,0.66667,0.25386,0.19099,0.77165,3.8888,0.86858,0.000470401,0.000470401,0.000470401
